what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827462699
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300827463950
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1300827464724
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827465476
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827485871
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827490038
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827500983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827504814
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827562087
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827566558
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827649461
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827651217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827701887
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827705739
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827725619
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827726159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827727520
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827730892
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827757718
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827761916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827763917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827768144
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827772882
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1300827773324
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827774289
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827821553
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827827958
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827842241
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827845254
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300827850019
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1300869659970
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1300869659973
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1300869659977
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1300869659980
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1300869659983
